"seqfile","m0_kappa","m0_beta_0","m0_beta_1","m0_treescaling","m0_ml","m1_kappa","m1_beta_0","m1_beta_1","m1_treescaling","m1_ml"
"11079_RER1.fasta",3.11806958901426,0.0269907746182143,0.376891150237683,0.00280040185496627,-4089.53349979198,3.44696199626278,-0.0231981618225409,0.000152248429697676,0.00279390204357767,-4088.13898272697
"1213_CLTC.fasta",4.20471504863756,0.000659286395133455,-0.901098571247967,0.00135665985187893,-24606.2580756051,3.33715388370491,0.00110917928716576,2.96705100111878e-06,0.00126219599043896,-24593.2788547935
"23521_RPL13A.fasta",3.55121814448738,0.025027319004908,-0.127676071143951,0.00257646992456702,-4348.90840537254,3.28274995214167,0.0292951870116194,-7.84121829615779e-06,0.00265689879293339,-4347.53928440181
"2990_GUSB.fasta",3.98619854590479,0.148949567957129,-0.334099926091753,0.00388498756539231,-20553.3870626396,2.86507617072036,0.152107640480538,0.000101997473776135,0.00394394640463911,-20477.9618268392
"3251_HPRT1.fasta",7.48407328989517,0.0530124655220706,-4.52826010974075,0.00161737275045546,-3705.7363587451,3.59120073568097,0.0644485727922581,3.32310611327478e-05,0.00159798252770238,-3675.87390892527
"498_ATP5F1A.fasta",2.42463805640134,0.00776929472824966,1.14058103285354,0.00172148851050973,-10697.1071532349,3.77903637795748,0.0437695704329175,-2.70425890316262e-05,0.00160713074076665,-10585.7251701374
"509_ATP5F1C.fasta",1.96791564705141,0.00692460702993019,1.661269340743,0.00237201055102881,-6982.47429009673,4.24149349309004,0.114718577488447,-9.54098921765979e-05,0.00232836105271432,-6623.8221468836
"513_ATP5F1D.fasta",3.75423859088622,0.0379338704701161,-0.349871742561036,0.00524965783120457,-4702.41612827507,3.5229067627936,0.0691841081938932,-2.1629533350929e-05,0.00406524198593875,-4668.10145089082
"514_ATP5F1E.fasta",9.04754898705577,0.0399086777068668,-6.38905089605799,0.00237853194366372,-1056.92045579052,2.80727681189624,0.0207310029903021,0.000218303612799194,0.00221794688875158,-1026.31344851559
"5230_PGK1.fasta",14.4545059696954,0.00848711438442318,-12.5986323745933,0.0016165347955742,-7370.28144424504,3.41025311910448,0.061610501496881,4.42751147200615e-05,0.00157864521315869,-6948.33965629212
"5478_PPIA.fasta",9.84148941786872,0.0354044231032643,-7.30370787544484,0.00205652448707063,-3142.18664151179,9.29944586363121,0.043804636580892,4.6530256323363e-05,0.00229810872063823,-3135.70867789024
"567_B2M.fasta",2.16977401454892,0.306193403289626,2.04005461976392,0.00616403407108113,-5174.38414530736,2.1680397377764,0.326005985281027,-7.11333117094775e-05,0.0060636842856511,-5174.1670698981
"60_ACTB.fasta",4.78383549153917,0.00229498725046787,-1.56593925338348,0.00223728278160983,-6082.6574285064,4.7365227889603,0.483872020055068,-0.00134702174624191,0.00229231364269504,-59.6648498277995
"6155_RPL27.fasta",3.64775344432621,0.00529432338602921,-0.257834146655844,0.00168183008332291,-2134.67454870457,3.8580099226904,0.017068403441244,-3.68464656694563e-05,0.00162965935981953,-2133.83645686674
"6175_RPLP0.fasta",3.2899650707975,0.0300518957406919,0.158910710454524,0.00173828188784401,-5613.01964211748,3.15834662341844,0.0351041318086832,-1.51076193545048e-05,0.00173999421482646,-5613.12179331219
"6389_SDHA.fasta",3.67629571968178,0.0526162679939153,-0.219354916302201,0.00330006670404763,-17297.1381184074,3.66985080328347,0.0449364053156219,3.4610683546515e-05,0.00323626363035519,-17295.0409130701
"6908_TBP.fasta",2.71332566353237,0.0433242382537837,0.834633145773082,0.00245558228812847,-6828.3037053628,2.85558800918873,0.0747303955114348,-9.20654871935126e-05,0.0024546024494994,-6823.4042804583
"7037_TFRC.fasta",2.84326127850506,0.302017256567217,0.95663268925223,0.00368231240521225,-25466.7549109924,3.06340633756957,0.188561904003072,0.000513453965162706,0.00365682915549004,-25443.8760495403
"7316_UBC.fasta",4.13101013654743,0.000683512559001941,-0.818176065740409,0.00230677530864208,-6690.84164081803,4.29338729349713,-0.00154967627597892,1.31214219735699e-05,0.00239315853642452,-6685.16621161065
"7534_YWHAZ.fasta",2.57856718067885,-0.0352639695068988,0.420770648370534,0.418308318786116,14275.6451916078,3.26122813858479,-0.0862889684685474,-0.000430703205303452,0.000600423354644075,68059.8773293083
