"seqfile","m0_kappa","m0_beta_0","m0_beta_1","m0_treescaling","m0_ml","m1_kappa","m1_beta_0","m1_beta_1","m1_treescaling","m1_ml"
"142_PARP1.fasta",25.4296043784761,0.0159806686168461,-25.0758052085524,0.00397995302570299,-31210.8386103407,3.42654392233714,0.0714558998171331,5.89284546342893e-05,0.00396065053244679,-28512.8063562099
"2067_ERCC1.fasta",10.2144442052721,0.0927034521470959,-7.67994158638124,0.0034182984670666,-8427.55443112397,3.16284410193896,0.123475326866655,7.48159278804492e-05,0.00386619815960781,-8191.89809165833
"2177_FANCD2.fasta",1.03470967226845,0.0345721896959812,2.75612667699528,0.00325477853184134,-47532.7545482303,3.37811421129876,0.213588958292083,0.000326116765377034,0.00296023636644836,-43483.3457275851
"2956_MSH6.fasta",2.51969166733003,0.000376708103968264,1.03770115063753,0.00258430156072654,-41849.0578905051,2.84510040359519,0.194263433616216,-0.000118735699744778,0.00238926884734182,-33434.4608147797
"328_APEX1.fasta",3.62260684816673,0.0490647664170868,-0.166505459137463,0.00210001520407189,-7108.96269324058,3.32589890843689,0.089449999909353,-3.1366770514983e-05,0.00232816014592401,-7080.47701269756
"3981_LIG4.fasta",4.41156009714252,0.170949043358898,-0.818169922069949,0.00308571093541746,-27274.9096680792,3.33100315889295,0.150333755547724,1.86155117645804e-07,0.00290124435330123,-27277.1551452225
"4361_MRE11.fasta",837.93044869273,0.0280200055349214,-952.988067306391,0.00295224747331171,-21967.1806462781,6.35741448733165,-0.496673759298492,0.00839966225769784,0.00295209630791584,-19611.0391868664
"4436_MSH2.fasta",1.84032886776175,0.00294087904603591,1.80096808290452,0.00283872924965335,-23161.4876474976,2.62195387239242,0.0674918297774624,0.000105011174594817,0.00206797401586251,-21030.0263160971
"4437_MSH3.fasta",7.5619796296496,0.196495774347183,-4.50487409829963,0.00292567962344352,-30428.7429972738,3.25744521361259,0.300365904239319,-0.000195254105025325,0.00312339576264863,-30018.0182155926
"4595_MUTYH.fasta",4.35206472749585,0.330687857773203,-0.759573426047132,0.00359579502478342,-16732.1012516309,4.35886380567373,0.349249147553511,-5.17580147922218e-05,0.00359168983119436,-16732.0295960618
"4968_OGG1.fasta",13.8713977321427,0.111985611000045,-11.8210903743526,0.00343094104980495,-8999.56956516995,14.3687725673394,0.278805218576803,-9.10432221409168e-05,0.00323490263346578,-8912.90758631685
"5888_RAD51.fasta",3.38292378219485,0.0220361885292835,0.0248317012449431,0.00147763801263857,-5550.12089745554,3.41200703868232,0.019946614332059,1.05180099057239e-05,0.0014659668693291,-5549.92056284614
"5893_RAD52.fasta",2.67050013929495,0.187832748409372,1.05174430004473,0.00332706247265369,-13431.2669595204,3.04324404205548,0.168374154842485,0.000378954252394198,0.00379826947678579,-13344.9457355287
"672_BRCA1.fasta",0.978893995826409,0.0355607492308099,2.7082745600364,0.00468270631900714,-77055.9386582765,1.6868594964233,0.724361960840328,-0.000666103430239578,0.00372191572631427,-67515.3129202877
"7157_TP53.fasta",1.68029704295941,0.101032935602842,2.07856193668088,0.0042769991470137,-13008.8797833235,2.82248673127308,0.103114589909252,0.000301074347273126,0.00410270624099233,-12847.329809132
"7507_XPA.fasta",128.115683928684,0.0171612009790148,-142.416837889476,0.0026144159651175,-7850.11674419949,2.8605687658684,0.120733637008987,7.65804057246452e-05,0.00260997915128078,-6519.3827730436
"7515_XRCC1.fasta",1.17261228453216,0.0183067032496078,2.58177965146358,0.00336757443260031,-17833.5888254693,1.26334508353272,-0.030065415515299,0.00052261075003743,0.00304827390141021,-16795.0045171786
"7518_XRCC4.fasta",1.97449162115574,0.0678773090671994,1.70810567906718,0.00225512185080897,-10662.1424297754,3.33500362820335,0.186941161548181,0.0005125718170561,0.00311327523785029,-10036.3262119295
"79661_NEIL1.fasta",5.84821488064559,0.211077826632471,-2.58774978480122,0.00387397001086043,-11303.3490991928,3.74144953931777,0.196801528003117,7.07379925807894e-05,0.00381114239410854,-11260.6838005525
"8930_MBD4.fasta",0.945536956920586,0.00968300605507687,2.83596468597906,0.00468713405846105,-21897.909164535,3.68374129145511,0.515939362712696,-0.000129812072324382,0.00364854810231935,-17470.362087775
